"Median","Lower","Upper","Distance"
0.508321811228948,0.122673069131552,0.811917926875044,10
0.506186231078238,0.122586088667176,0.810629577797316,11
0.503869359309233,0.122490197161742,0.809234213444592,12
0.501374692518686,0.122384497968805,0.807733384924455,13
0.498705819742765,0.122268007743437,0.80612859059794,14
0.495866428177531,0.122139648823573,0.804421288877444,15
0.492860306195071,0.121998241110226,0.802612908106036,16
0.489691344334006,0.121842493452994,0.800704854295613,17
0.486363534736854,0.121670994559041,0.798698517259348,18
0.482880969372669,0.121482203458515,0.796595275516795,19
0.479247837293799,0.121274439577863,0.794396500245017,20
0.475468421114164,0.121045872495195,0.792103558477195,21
0.471547092853384,0.120794511479463,0.789717815699769,22
0.467488309260363,0.120518194948405,0.787240637963119,23
0.463296606707497,0.120214580019754,0.784673393594651,24
0.45897659573015,0.119881132376627,0.782017454583749,25
0.454532955273601,0.119515116722098,0.779274197693582,26
0.449970426700149,0.119113588159963,0.776445005343734,27
0.445293807601803,0.118673384908941,0.773531266299149,28
0.440507945458158,0.118191122835771,0.770534376194355,29
0.435617731174571,0.11766319237814,0.767455737916716,30
0.430628092532,0.117085758519707,0.764296761868441,31
0.425543987576905,0.116454764574151,0.761058866123776,32
0.420370397977072,0.115765940629728,0.757743476495209,33
0.415112322367129,0.115014817595024,0.754352026520377,34
0.409774769705687,0.114196747863719,0.750885957379644,35
0.40436275266449,0.113306933672431,0.747346717752867,36
0.398881281068519,0.112340464250126,0.743735763622717,37
0.393335355404764,0.111292362837252,0.74005455803092,38
0.387729960416225,0.110157644572733,0.736304570792973,39
0.382070058796633,0.10893138609103,0.73248727817619,40
0.37636058500038,0.107608807423131,0.728604162545365,41
0.370606439181234,0.106185366439045,0.724656711979834,42
0.364812481272475,0.104656865592859,0.720646419865298,43
0.358983525220256,0.103019570128169,0.716574784463403,44
0.353124333381144,0.10127033617389,0.712443308461782,45
0.347239611093963,0.0994067463225952,0.708253498506962,46
0.341334001435287,0.097427249365155,0.704006864722343,47
0.335412080167142,0.0953312999040684,0.699704920213218,48
0.329478350884691,0.0931194926492639,0.695349180560657,49
0.323537240370955,0.0907936853978449,0.690941163305895,50
0.317593094164838,0.0883571041096304,0.686482387426749,51
0.31165017234803,0.0858144232154444,0.681974372807452,52
0.30571264555563,0.08317181443136,0.677418639703187,53
0.299784591214603,0.0804369579766499,0.672816708200519,54
0.293869990013535,0.0776190112490115,0.668170097674822,55
0.287972722606423,0.0747285316926989,0.663480326245725,56
0.28209656655261,0.071777352740655,0.658748910231536,57
0.276245193494284,0.068778414196682,0.653977363603541,58
0.270422166572373,0.0657455510687657,0.649167197441002,59
0.264630938080998,0.0626932474502629,0.644319919387648,60
0.258874847360081,0.0596363643355986,0.639437033110389,61
0.253157118925112,0.056589852027846,0.634520037760936,62
0.247480860832514,0.0535684588662603,0.629570427440996,63
0.241849063278501,0.0505864482601123,0.624589690671635,64
0.236264597428812,0.0476573354335927,0.619579309867392,65
0.230730214476203,0.0447936539267341,0.614540760815695,66
0.225248544922094,0.0420067599007054,0.609475512162079,67
0.219822098078325,0.0393066798633001,0.604385024901711,68
0.214453261784549,0.0367020047940339,0.599270751877649,69
0.209144302336371,0.0341998310410031,0.594134137286301,70
0.203897364618989,0.031805745989916,0.588976616190466,71
0.198714472440709,0.0295238545286219,0.583799614040348,72
0.193597529060399,0.0273568408484045,0.578604546202915,73
0.188548317902642,0.0253060591758858,0.573392817499932,74
0.183568503454064,0.0233716466015622,0.568165821754983,75
0.178659632334073,0.0215526512047755,0.562924941349811,76
0.173823134533,0.0198471690839361,0.557671546790221,77
0.16906032481047,0.0182524845849597,0.55240699628184,78
0.16437240424662,0.0167652088791656,0.547132635315966,79
0.159760461938649,0.0153814129821994,0.541849796265736,80
0.155225476835077,0.0140967522509495,0.536559797992837,81
0.150768319699953,0.0129065802871632,0.531263945464942,82
0.14638975519922,0.0118060509742594,0.525963529384065,83
0.142090444101362,0.0107902080542903,0.520659825825998,84
0.137870945584445,0.00985406220581153,0.515354095890982,85
0.133731719641652,0.00899265601213425,0.510047585365748,86
0.12967312957743,0.00820111752216147,0.504741524397057,87
0.125695444586401,0.00747470331658073,0.499437127176848,88
0.121798842407243,0.0068088321166816,0.494135591639088,89
0.117983412043831,0.00619911002807467,0.488838099168413,90
0.114249156546004,0.00564134851288844,0.483545814320629,91
0.110595995842455,0.00513157614581266,0.478259884555137,92
0.107023769618353,0.0046660451438424,0.47298143997932,93
0.103532240230453,0.004241233576825,0.467711593104947,94
0.100121095652607,0.00385384407392587,0.462451438616589,95
0.0967899524447639,0.00350079974602402,0.457202053152098,96
0.0935383587387202,0.00317923795030491,0.451964495095113,97
0.0903657972340864,0.00288650243404525,0.446739804379618,98
0.0872716881981333,0.00262013431179081,0.441529002306508,99
0.0842553924634016,0.00237786225495879,0.436333091372158,100
0.0813162144171789,0.00215759220585016,0.431153055108934,101
0.0784534049771797,0.00195739686916254,0.425989857937617,102
0.0756661645480032,0.00177550518305305,0.420844445031667,103
0.0729536459531836,0.00161029192810715,0.415717742193285,104
0.0703149573379005,0.00146026759559097,0.410610655741162,105
0.0677491650376626,0.00132406860541371,0.405524072409871,106
0.0652552964085408,0.0012004479385997,0.400458859260781,107
0.0628323426147751,0.00108826622808763,0.395415863604412,108
0.0604792613698438,0.000986483334694082,0.390395912934108,109
0.05819497962734,0.000894150421512557,0.385399814870935,110
0.0559783962182587,0.000810402529337759,0.380428357119654,111
0.0538283844315533,0.000734451647437106,0.375482307435672,112
0.0517437945350784,0.000665580267727504,0.370562413602802,113
