"Median","Lower","Upper","Distance"
0.576339734336609,0.209564182717162,0.831932930509574,10
0.575577498979405,0.209537315232184,0.830034103147055,11
0.574718218498289,0.209502402797384,0.828106812677637,12
0.573759450207912,0.209458017355199,0.826150789553745,13
0.572698977506377,0.209402623614475,0.824165767235777,14
0.571534793348621,0.209334580932888,0.822151482429305,15
0.570265087238322,0.20925214532033,0.820107675327667,16
0.568888234848959,0.209153471603351,0.818034089859884,17
0.567402789640143,0.209036615789537,0.815930473943818,18
0.565807476006644,0.208899537669937,0.813796579744468,19
0.56410118361541,0.20874010369719,0.811632163937293,20
0.562282962669045,0.208556090176706,0.80943698797644,21
0.560352019894024,0.208345186807931,0.80721081836774,22
0.558307715095828,0.208105000612405,0.804953426946315,23
0.556149558155911,0.207833060284874,0.80266459115864,24
0.553877206370221,0.207526821003065,0.800344094348863,25
0.551490462048038,0.20718366973089,0.797991726049205,26
0.548989270304729,0.206800931048701,0.795607282274217,27
0.546373716993717,0.206375873542746,0.793190565818674,28
0.54364402673228,0.205905716784192,0.790741386558854,29
0.540800560983307,0.205387638925799,0.788259561756956,30
0.537843816161289,0.204818784941716,0.785744916368373,31
0.534774421735848,0.204196275532674,0.783197283351529,32
0.531593138310325,0.203517216715233,0.780616503979977,33
0.528300855656477,0.202778710109522,0.778002428156426,34
0.524898590689318,0.201977863935131,0.775354914728361,35
0.521387485368726,0.201111804719501,0.772673831804895,36
0.517768804516625,0.200177689717157,0.769959057074478,37
0.514043933540538,0.19917272003158,0.767210478123067,38
0.510214376055939,0.198094154424327,0.764427992752363,39
0.506281751401409,0.196939323788201,0.761611509297667,40
0.502247792041902,0.195705646252877,0.758760946944935,41
0.498114340856667,0.194390642882467,0.755876236046568,42
0.493883348309449,0.192991953914954,0.752957318435457,43
0.489556869499617,0.191507355483528,0.750004147736814,44
0.485137061093759,0.189934776749421,0.747016689677268,45
0.480626178138142,0.18827231736514,0.743994922390729,46
0.476026570753211,0.18651826517603,0.740938836720471,47
0.471340680711999,0.184671114056986,0.737848436516919,48
0.466571037905039,0.182729581770041,0.734723738930561,49
0.461720256694915,0.180692627717556,0.731564774699438,50
0.456791032164242,0.178559470455044,0.728371588430641,51
0.451786136261346,0.176329604817426,0.72514423887521,52
0.446708413848438,0.174002818502902,0.721882799195875,53
0.441560778657537,0.171579207949861,0.718587357227017,54
0.436346209159826,0.169059193334537,0.715258015726261,55
0.431067744354495,0.166443532510652,0.711894892617084,56
0.425728479483541,0.16373333370731,0.708498121221837,57
0.42033156167926,0.160930066798139,0.705067850484561,58
0.414880185551524,0.158035572953332,0.701604245182989,59
0.409377588722162,0.155052072487041,0.698107486129122,60
0.403827047314041,0.151982170715714,0.694577770357776,61
0.398231871402616,0.148828861648677,0.691015311302489,62
0.392595400437932,0.145595529340616,0.687420338958197,63
0.386920998645191,0.142285946746884,0.683793100030091,64
0.381212050412131,0.138904271936735,0.68013385806807,65
0.375471955671546,0.135455041536782,0.676442893586232,66
0.369704125287367,0.131943161297251,0.672720504166836,67
0.36391197645273,0.128373893696857,0.668967004548219,68
0.358098928108487,0.124752842528336,0.665182726696112,69
0.352268396390601,0.121085934435666,0.661368019857894,70
0.346423790114812,0.11737939740559,0.657523250599267,71
0.340568506306896,0.113639736249933,0.653648802822912,72
0.334705925786738,0.109873705151119,0.649745077768694,73
0.328839408814339,0.106088277380679,0.645812493994993,74
0.322972290805694,0.102290612339121,0.641851487340804,75
0.317107878126347,0.0984880201046096,0.637862510868233,76
0.311249443970214,0.0946879237169894,0.633846034785094,77
0.305400224331056,0.0908978194620765,0.629802546347315,78
0.299563414073744,0.0871252354582097,0.625732549740893,79
0.293742163112215,0.0833776888820403,0.621636565943213,80
0.287939572700722,0.0796626422027527,0.617515132563534,81
0.282158691844695,0.0759874588225939,0.613368803662519,82
0.276402513837234,0.0723593585460582,0.609198149550718,83
0.270673972926899,0.0687853733196105,0.605003756565951,84
0.264975941122136,0.0652723036978308,0.600786226829578,85
0.259311225137328,0.0618266764997339,0.596546177981709,86
0.253682563485074,0.0584547041202935,0.592284242895413,87
0.248092623718932,0.0551622459564914,0.588001069370083,88
0.242543999830471,0.0519547723942621,0.583697319804098,89
0.237039209804072,0.0488373317823882,0.579373670847029,90
0.231580693332531,0.0458145207917328,0.575030813031644,91
0.226170809696081,0.0428904585233564,0.570669450386029,92
0.220811835807062,0.0400687646873799,0.566290300026183,93
0.215505964422033,0.0373525421264288,0.561894091729509,94
0.210255302522711,0.0347443639037776,0.557481567489629,95
0.205061869866702,0.0322462651177136,0.553053481053057,96
0.199927597708564,0.0298597395411086,0.548610597438245,97
0.194854327691344,0.027585741119796,0.544153692437615,98
0.189843810908308,0.025424690296276,0.539683552103189,99
0.18489770713418,0.0233764850577663,0.535200972216519,100
0.180017584224809,0.0214405165409843,0.5307067577436,101
0.175204917683803,0.0196156889616181,0.526201722275554,102
0.170461090394265,0.0179004435755157,0.521686687455848,103
0.165787392513416,0.0162927863224681,0.517162482394894,104
0.161185021527529,0.0147903187532514,0.512629943072889,105
0.15665508246422,0.013390271797388,0.508089911731781,106
0.152198588258869,0.0120895418938124,0.503543236257282,107
0.147816460271544,0.0108847289800072,0.4989907695519,108
0.143509528950577,0.00977217581776865,0.494433368899929,109
0.139278534638586,0.00874800812589215,0.489871895325424,110
0.1351241285165,0.0078081749918302,0.485307212944157,111
0.131046873680888,0.00694848904565263,0.480740188310595,112
0.127047246349626,0.00616466590005968,0.476171689760946,113
0.12312563719076,0.00545236238918799,0.471602586753318,114
