"Median","Lower","Upper","Distance"
0.764093344421578,0.4883466275324,0.844070625079761,10
0.763006366161633,0.483992551989667,0.843426171698175,11
0.761833751282618,0.479376472652306,0.842754537926817,12
0.760569053841319,0.474488942337064,0.842054624342369,13
0.759205392699963,0.469321072278898,0.841325291160576,14
0.757735430526942,0.463864680111081,0.840565357118177,15
0.756151353270297,0.458112448060229,0.839773598357778,16
0.754444850441089,0.452058089750145,0.838948747319614,17
0.752607096604381,0.445696523478823,0.838089491644594,18
0.750628734542772,0.439024049273518,0.837194473093479,19
0.748499860631259,0.432038526458699,0.83626228648749,20
0.74621001304241,0.424739547915287,0.835291478676172,21
0.743748163487,0.417128606696422,0.834280547538876,22
0.741102713286426,0.409209250228581,0.833227941026764,23
0.738261494668134,0.40098721700376,0.832132056252873,24
0.735211778271972,0.39247055049574,0.830991238638379,25
0.731940287951402,0.383669685046712,0.829803781123872,26
0.728433224045367,0.374597498700351,0.828567923455131,27
0.724676296380203,0.365269328426297,0.827281851553618,28
0.720654768331047,0.355702943900116,0.825943696982645,29
0.716353513322428,0.345918476968874,0.824551536520921,30
0.711757085170789,0.33593830512601,0.823103391856008,31
0.706849803659066,0.325786888702898,0.821597229410978,32
0.70161585667575,0.315490563004557,0.820030960318414,33
0.696039420137772,0.305077288204177,0.818402440556696,34
0.690104796737435,0.29457636138561,0.816709471264371,35
0.683796574297717,0.284018096598661,0.814949799249186,36
0.677099804177663,0.273433480083572,0.81312111770921,37
0.670000199731614,0.262853808850187,0.81122106718422,38
0.662484354286883,0.25231032149962,0.809247236756303,39
0.654539977461853,0.241833830506908,0.807197165519292,40
0.646156147903157,0.231454365120706,0.805068344337338,41
0.637323579686049,0.221200833584588,0.802858217913449,42
0.628034898713076,0.211100712573199,0.800564187189311,43
0.618284924488833,0.201179770616792,0.798183612098088,44
0.608070951678177,0.191461830929105,0.795713814692103,45
0.59739302491699,0.181968577537256,0.793152082667404,46
0.586254199492347,0.172719407024724,0.790495673307134,47
0.574660779804112,0.163731326624244,0.787741817865311,48
0.562622527028103,0.155018897913633,0.784887726412157,49
0.550152827188259,0.146594224038794,0.781930593161308,50
0.537268810972948,0.138466977263275,0.778867602298253,51
0.523991417149833,0.130644462754281,0.775695934327986,52
0.510345392378546,0.123131713875366,0.772412772958193,53
0.496359221602551,0.115931613864367,0.769015312532295,54
0.482064985004625,0.109045038616625,0.76550076602423,55
0.467498139687303,0.102471015342543,0.76186637360408,56
0.452697226711249,0.0962068920926988,0.758109411780383,57
0.437703506782143,0.0902485135066184,0.75422720312128,58
0.422560530587072,0.084590398605815,0.750217126552492,59
0.407313652395382,0.079225916981957,0.746076628225499,60
0.392009497902227,0.0741474602947141,0.741803232944126,61
0.376695399258585,0.0693466065629564,0.737394556132199,62
0.361418811672216,0.0648142752847887,0.732848316318819,63
0.34622672678422,0.0605408719389192,0.728162348111277,64
0.331165098170181,0.0565164208897047,0.723334615618662,65
0.316278293773477,0.0527306861331451,0.718363226281899,66
0.301608588887932,0.0491732796773343,0.713246445058193,67
0.287195711547346,0.0458337576479038,0.707982708899934,68
0.273076449965606,0.0427017044488267,0.702570641459907,69
0.259284329143494,0.0397668054954191,0.697009067946345,70
0.245849361069503,0.0370189091745547,0.691297030043068,71
0.232797870244929,0.0344480787827327,0.685433800801706,72
0.220152393699224,0.0320446352517472,0.679418899405035,73
0.207931652349825,0.0297991915002497,0.67325210569281,74
0.196150588593548,0.0277026792531487,0.666933474334396,75
0.184820463454538,0.0257463691547676,0.66046334852604,76
0.173949005485744,0.0239218849706337,0.653842373085082,77
0.16354060292643,0.0222212126307745,0.647071506808781,78
0.153596530331948,0.0206367048179079,0.640152033962088,79
0.144115200969178,0.0191610817498079,0.633085574756641,80
0.135092436653951,0.0177874287487692,0.625874094682719,81
0.126521747330548,0.0165091911343237,0.618519912557032,82
0.118394613491662,0.0153201669196232,0.611025707152149,83
0.110700765446535,0.0142144977382665,0.603394522278148,84
0.103428454407931,0.0131866583775591,0.595629770193912,85
0.0965647113363147,0.0122314452467687,0.587735233234276,86
0.0900955904125126,0.0113439640651623,0.579715063550151,87
0.0840063948784032,0.0105196170146253,0.571573780871636,88
0.0782818837682832,0.00975408956546699,0.563316268219035,89
0.0729064587389872,0.00904333715152758,0.554947765503409,90
0.0678643307893347,0.00838357184176404,0.546473860976786,91
0.0631396671392482,0.00777124912990119,0.537900480512105,92
0.0587167189205108,0.00720305494125723,0.529233874714214,93
0.054579930622185,0.00667589293624485,0.52048060388553,94
0.0507140324436983,0.00618687217305358,0.511647520892857,95
0.0471041168480158,0.00573329517738537,0.502741752005172,96
0.0437357006869335,0.00531264645460123,0.493770675795381,97
0.0405947743008174,0.00492258146900905,0.484741900221904,98
0.0376678389859043,0.00456091610606644,0.475663238027901,99
0.034941934182458,0.00422561662578548,0.466542680616732,100
0.0324046556744872,0.00391479010942567,0.457388370581456,101
0.0300441660131171,0.00362667539648004,0.448208573083339,102
0.0278491982867206,0.00335963450484595,0.439011646289284,103
0.0258090542661934,0.00311214452379355,0.429806011090453,104
0.0239135978569955,0.00288278996677925,0.42060012033379,105
0.0221532446936605,0.0026702555691949,0.411402427804705,106
0.0205189486195439,0.00247331951470063,0.402221357202431,107
0.0190021857061954,0.00229084707277994,0.393065271349707,108
0.0175949363839582,0.00212178462950814,0.383942441875301,109
0.0162896661788443,0.00196515409317721,0.374861019601593,110
0.0150793054807506,0.00182004765631909,0.365829005860118,111
0.0139572287047216,0.00168562289576905,0.356854224945818,112
